,date,close,volume,open,high,low
10,2019/06/14,1085.35,1111643.0,1086.42,1092.69,1080.1721
11,2019/06/13,1088.77,1058000.0,1083.64,1094.17,1080.15
12,2019/06/12,1077.03,1061255.0,1078.0,1080.93,1067.54
13,2019/06/11,1078.72,1437063.0,1093.98,1101.99,1077.6025
14,2019/06/10,1080.38,1464248.0,1072.98,1092.66,1072.3216
